OPENFOAM_WORKSPACE_DIR,YPLUS_MIN,YPLUS_MAX,YPLUS_AVG,CA_FINAL_COEFF,CN_FINAL_COEFF,CM_FINAL_COEFF,CA_FINAL_COEFF_WINDOW,CN_FINAL_COEFF_WINDOW,CM_FINAL_COEFF_WINDOW,WINDOW_SIZE,TOTAL_STATUS_CODE,EXECUTION_TIME,NUMBER_ITERATIONS,SOLVER_NAME,ITERRATIONS_PER_EXECUTION_TIME,LAST_MODIFICATION_DATE,residual_e,log.reconstructPar,log.mapFieldsPar,residual_p,log.decomposePar,residual_Uy,residual_Ux,residual_k,log.rhoCentralFoam,log.rhoPimpleFoam,residual_Uz,residual_omega,log.mapFields,Mach,Grid_Refinement,AoA,Solver
D:\sim\rhoPimpleFoam\R5\Ma2.3_AoA0_R5_rhoPimpleFoam,0.0006606079476,0.44145461441,0.098025924115,0.222593045,0.00202267366,-0.00416175035,0.22289780848,0.0020223667482,-0.0043292664888,50,1,47170.73,1755.0,rhoPimpleFoam,0.0372052753900565,2023-09-16 17:52:06,2.2389282e-08,1,1.0,4.353698500000001e-07,1,5.592015500000001e-07,7.167199899999998e-10,4.2061596e-10,,1.0,1.3261995e-05,4.8638999e-13,,2.3,R5,0,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R5\Ma2.3_AoA16_R5_rhoPimpleFoam,0.0013675611943,0.68782482556,0.10601786486,0.2932367,2.63536152,12.7621742,0.2930627484399999,2.6356294856,12.762857764,50,1,38399.06,1351.0,rhoPimpleFoam,0.0351831529209308,2023-09-14 14:30:23,2.4252978000000002e-08,1,1.0,2.9831918e-06,1,5.3934277000000004e-08,1.5276319999999996e-09,7.256030899999998e-10,,1.0,8.489262699999998e-09,5.507842300000002e-13,,2.3,R5,16,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R5\Ma2.3_AoA8_R5_rhoPimpleFoam,0.00088219216443,0.97286864934,0.16769545089,0.334304957,0.569681931,4.16441649,0.33428656842,0.56966750566,4.1642291374,50,1,97674.37,5655.0,rhoPimpleFoam,0.0578964573818085,2023-10-25 07:50:05,1.2801229e-06,1,,2.6696959e-05,1,1.803283e-05,4.7484899000000004e-07,3.4686501e-08,,1.0,2.9900803e-06,1.1690279e-08,,2.3,R5,8,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R5\Ma4.63_AoA0_R5_rhoPimpleFoam,0.00016858537562,0.32150251785,0.061650574886,0.204239581,-6.46047679e-05,0.00192070807,0.2047504235599999,-6.2856041084e-05,0.0019852066394,50,1,47938.25,2730.0,rhoPimpleFoam,0.0569482615656599,2023-10-25 04:54:50,1.6771772e-09,1,1.0,1.2610377000000001e-07,1,3.2204631e-08,1.2784528999999999e-10,2.2817496e-10,,1.0,2.5758402e-06,4.3806406e-10,,4.63,R5,0,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R5\Ma4.63_AoA16_R5_rhoPimpleFoam,0.0002421330819,0.73945314953,0.05477519119,0.307471345,2.79228751,11.3402696,0.30772227346,2.7920235347999998,11.338726184000002,50,1,42738.32,1505.0,rhoPimpleFoam,0.035214299485801,2023-09-18 21:41:17,4.013088199999999e-09,1,1.0,1.6192984000000002e-07,1,3.4730615e-08,2.8540691e-10,6.6532135999999995e-09,,1.0,2.6772377e-09,5.785308500000001e-13,,4.63,R5,16,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R5\Ma4.63_AoA8_R5_rhoPimpleFoam,0.0001753454669,0.3000709545,0.040952228373,0.165096248,0.863106831,4.57725285,0.16536157986,0.8634561046200001,4.579140155800001,50,1,53003.46,1916.0,rhoPimpleFoam,0.0361485835075672,2023-09-18 06:44:21,3.9271991e-09,1,1.0,1.351156e-06,1,2.5549261e-08,1.9297756e-10,1.1352181999999999e-10,,1.0,2.7755271999999998e-09,8.849651800000001e-13,,4.63,R5,8,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R1\Ma0.6_AoA0_R1_rhoPimpleFoam,0.59494202341,68.121698856,30.821772134,0.285430692,-0.000304874993,0.00156081999,0.28537259112,-0.0004083377978199,0.0010342321466399,50,1,1682.09,4301.0,rhoPimpleFoam,2.5569380948700724,2023-10-23 08:16:28,2.873512e-07,1,,1.8766981e-06,1,3.8409675e-07,2.4504654e-08,1.2327448e-08,,1.0,0.00039164767,1.5483970000000005e-07,,0.6,R1,0,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R1\Ma0.6_AoA16_R1_rhoPimpleFoam,0.29434142824,72.939050348,31.861164553,0.358096935,0.740909107,7.71513823,0.3582088644799999,0.74089215374,7.7155054666,50,1,8531.78,20081.0,rhoPimpleFoam,2.353670629106704,2023-10-25 17:13:40,7.535595799999998e-08,1,,6.7844346e-07,1,9.3156803e-08,1.2552001e-08,6.7817754999999995e-09,,1.0,4.5447263e-08,3.0503137e-08,,0.6,R1,16,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R1\Ma0.6_AoA8_R1_rhoPimpleFoam,0.17156444165,70.030189032,30.609909692,0.347896784,0.283083571,3.56088418,0.3478959791,0.28291693034,3.560990028599999,50,1,4618.65,11091.0,rhoPimpleFoam,2.4013510441362738,2023-10-24 08:16:48,1.1160792e-07,1,,9.6222245e-06,1,2.5551267000000004e-07,1.7791895e-08,8.0448797e-09,,1.0,1.9351072e-07,6.46296e-08,,0.6,R1,8,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R1\Ma1.0_AoA0_R1_rhoPimpleFoam,0.2163031002,58.113872768,26.901349713,0.339235296,0.000178454171,-0.000627994022,0.33926594686,0.00018755464456,-0.0006660440641599,50,1,4212.13,10803.0,rhoPimpleFoam,2.564735656306904,2023-10-25 07:43:11,6.4111445e-08,1,,1.0671617e-06,1,5.960309300000001e-07,1.3362178e-08,2.3384389999999997e-09,,1.0,2.6503179e-05,2.6796468e-08,,1.0,R1,0,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R1\Ma1.0_AoA16_R1_rhoPimpleFoam,0.51977754919,63.021395398,29.154637877,0.468554121,0.941544305,8.23470663,0.46856606654,0.9408948751,8.2345234884,50,1,3424.93,8508.0,rhoPimpleFoam,2.4841383619519237,2023-10-27 07:32:55,8.465816599999998e-08,1,,8.6165446e-07,1,1.6274742e-07,1.6379272e-08,4.873488399999999e-09,,1.0,1.0648298000000001e-07,2.0036623e-08,,1.0,R1,16,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R1\Ma1.0_AoA8_R1_rhoPimpleFoam,0.28429280791,62.418569578,27.913781498,0.403357067,0.311735412,3.69401504,0.40342686084,0.31172814708,3.6937887112,50,1,4648.01,11769.0,rhoPimpleFoam,2.5320513510082807,2023-10-26 23:38:56,4.5109556e-08,1,,1.6029348e-06,1,2.3790079e-07,1.1552794e-08,3.4460803e-09,,1.0,1.1478923000000001e-07,1.9590467e-08,,1.0,R1,8,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R1\Ma1.5_AoA0_R1_rhoPimpleFoam,0.12723134839,53.780524133,23.657972466,0.356611544,-0.0013671501,0.0113281121,0.35665281688,-0.001745385663,0.012556071882,50,1,13092.33,16595.0,rhoPimpleFoam,1.2675360306377856,2023-09-15 14:01:09,4.588275500000001e-07,1,,1.8389239e-05,1,4.525091200000001e-07,8.584622099999999e-09,6.040496e-10,,1.0,2.5400208e-05,1.6657042e-11,,1.5,R1,0,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R1\Ma1.5_AoA16_R1_rhoPimpleFoam,0.16644945107,62.023042174,24.321249611,0.43951963,1.96057944,10.2441401,0.43960151522,1.9607224248000004,10.24493308,50,1,1148.07,3305.0,rhoPimpleFoam,2.8787443274364803,2023-09-06 13:50:22,1.0126397e-06,1,,5.8061349e-06,1,8.800232999999999e-07,1.4504858e-07,5.3810367e-08,,1.0,3.6310612000000003e-07,6.387557e-10,,1.5,R1,16,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R1\Ma1.5_AoA8_R1_rhoPimpleFoam,0.20251916379,58.569026813,24.024308556,0.4320829,0.434571618,3.83018973,0.4320555298,0.43456641534,3.830148619000001,50,1,1085.22,2830.0,rhoPimpleFoam,2.6077661672287644,2023-09-06 09:51:58,5.9702495e-07,1,,5.878493e-06,1,1.0649157e-06,9.6020382e-08,2.7951585e-08,,1.0,6.632072700000001e-07,4.1462341e-10,,1.5,R1,8,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R1\Ma2.3_AoA0_R1_rhoPimpleFoam,0.11090293452,47.128025268,18.185809367,0.300257018,0.00132516902,-0.00689014976,0.30030262974,0.0009480410702,-0.0113812649466,50,1,5062.57,13713.0,rhoPimpleFoam,2.7087032870656604,2023-09-16 04:34:52,1.6454769e-07,1,,2.6847109e-06,1,5.3068682e-07,5.6651548999999995e-09,7.751866899999998e-10,,1.0,3.9555782e-05,1.2491651e-11,,2.3,R1,0,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R1\Ma2.3_AoA16_R1_rhoPimpleFoam,0.085951470984,66.353201478,17.50313915,0.35083237,2.60243715,12.6020546,0.35085426008,2.602384099,12.602385378,50,1,742.06,2272.0,rhoPimpleFoam,3.061747028542167,2023-09-05 14:33:14,9.4219841e-07,1,,5.8502728e-06,1,1.3200644e-06,1.7397608000000005e-07,4.2868527e-08,,1.0,4.1549353e-07,3.6980034999999996e-10,,2.3,R1,16,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R1\Ma2.3_AoA8_R1_rhoPimpleFoam,0.087056000991,56.958328986,17.523857169,0.337326312,0.577337084,4.22477418,0.3373319488799999,0.57756651866,4.2248864414,50,1,1202.12,2631.0,rhoPimpleFoam,2.188633414301401,2023-09-03 22:58:13,3.7608262000000004e-07,1,,3.0611076e-06,1,1.1682964e-06,7.1893189e-08,1.4448320000000001e-08,,1.0,4.6302095000000003e-07,1.8868513e-10,,2.3,R1,8,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R1\Ma4.63_AoA0_R1_rhoPimpleFoam,0.0068242165987,44.326076655,7.6964150859,0.180920216,-9.19380294e-05,0.000360454963,0.18096205934,-0.000130458040368,0.0001121246956231,50,0,3035.41,7608.0,rhoPimpleFoam,2.5064159372210018,2023-10-25 06:29:07,8.821439499999998e-09,1,,2.3387179000000002e-07,1,2.4077771e-07,1.6237099999999996e-09,6.8661645e-10,,0.0,7.2484623e-06,8.1978776e-12,,4.63,R1,0,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R1\Ma4.63_AoA16_R1_rhoPimpleFoam,0.024989307012,128.49575666,9.155424484,0.264324607,2.77208007,11.1678111,0.26434918942,2.772099603199999,11.166913186,50,1,10252.72,25645.0,rhoPimpleFoam,2.50128746322927,2023-09-18 09:38:20,1.5151741e-08,1,,4.0552104e-06,1,4.3047601e-08,1.0720575e-09,3.683666e-10,,1.0,7.8203062e-09,8.9348314e-13,,4.63,R1,16,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R1\Ma4.63_AoA8_R1_rhoPimpleFoam,0.032495771217,47.763207211,6.97464118,0.194875825,0.86393444,4.46171534,0.19489676124,0.8639260783800001,4.461327890400001,50,1,7827.28,19630.0,rhoPimpleFoam,2.507895463047189,2023-09-17 15:49:32,3.4293886e-08,1,,9.3682662e-07,1,6.4155162e-08,1.8680381e-09,6.1546573e-10,,1.0,2.0850223e-08,1.5408706e-12,,4.63,R1,8,rhoPimpleFoam
